"","filename","exit_status","sys_time"
"1","add_alignments_11818840.log",NA,NA
"2","add_alignments_11818841.log","OK",3
"3","add_alignments_11818842.log","OK",2
"4","add_alignments_11818843.log",NA,NA
"5","add_alignments_11818844.log","OK",2
"6","add_alignments_11818845.log","OK",2
"7","add_alignments_11818846.log","OK",2
"8","add_alignments_11818847.log","OK",2
"9","add_alignments_11818848.log","OK",3
"10","add_alignments_11818849.log","OK",3
"11","add_alignments_11818850.log",NA,NA
"12","add_alignments_11818851.log",NA,NA
"13","add_alignments_11818852.log","OK",3
"14","add_alignments_11818853.log","OK",3
"15","add_alignments_11818854.log",NA,NA
"16","add_alignments_11818855.log",NA,NA
"17","add_alignments_11818856.log","OK",3
"18","add_alignments_11818857.log",NA,NA
"19","add_alignments_11818858.log","OK",2
"20","add_alignments_11818859.log","OK",2
"21","add_alignments_11818860.log","OK",3
"22","add_alignments_11818861.log","OK",5
"23","add_alignments_11818862.log","OK",10
"24","add_alignments_11818863.log","OK",4
"25","add_alignments_11818864.log","OK",3
"26","add_alignments_11818865.log","OK",3
"27","add_alignments_11818866.log","OK",6
"28","add_alignments_11818867.log","OK",3
"29","add_alignments_11818868.log","OK",8
"30","add_alignments_11818869.log","OK",7
"31","add_alignments_11818870.log","OK",5
"32","add_alignments_11818871.log","OK",3
"33","add_alignments_11818872.log","OK",4
"34","add_alignments_11818873.log","OK",8
"35","add_alignments_11818874.log","OK",6
"36","add_alignments_11818875.log","OK",4
"37","add_alignments_11818876.log","OK",5
"38","add_alignments_11818877.log","OK",7
"39","add_alignments_11818878.log","OK",4
"40","add_alignments_11818879.log","OK",6
"41","add_alignments_11818880.log","OK",2
"42","add_alignments_11818881.log","OK",2
"43","add_alignments_11818882.log",NA,NA
"44","add_alignments_11818883.log",NA,NA
"45","add_alignments_11818884.log","OK",2
"46","add_alignments_11818885.log","OK",2
"47","add_alignments_11818886.log",NA,NA
"48","add_alignments_11818887.log",NA,NA
"49","add_alignments_11818888.log","OK",2
"50","add_alignments_11818889.log","OK",2
"51","add_alignments_11818890.log",NA,NA
"52","add_alignments_11818891.log","OK",2
"53","add_alignments_11818892.log",NA,NA
"54","add_alignments_11818893.log","OK",3
"55","add_alignments_11818894.log",NA,NA
"56","add_alignments_11818895.log","OK",3
"57","add_alignments_11818896.log","OK",2
"58","add_alignments_11818897.log","OK",2
"59","add_alignments_11818898.log","OK",2
"60","add_alignments_11818899.log","OK",2
"61","add_alignments_11818900.log","OK",3
"62","add_alignments_11818901.log","OK",3
"63","add_alignments_11818902.log","OK",3
"64","add_alignments_11818903.log","OK",3
"65","add_alignments_11818904.log",NA,NA
"66","add_alignments_11818905.log","OK",3
"67","add_alignments_11818906.log","OK",3
"68","add_alignments_11818907.log","OK",5
"69","add_alignments_11818908.log","OK",2
"70","add_alignments_11818909.log","OK",2
"71","add_alignments_11818910.log","OK",2
"72","add_alignments_11818911.log","OK",3
"73","add_alignments_11818912.log","OK",7
"74","add_alignments_11818913.log","OK",4
"75","add_alignments_11818914.log","OK",4
"76","add_alignments_11818915.log","OK",3
"77","add_alignments_11818916.log",NA,NA
"78","add_alignments_11818917.log","OK",5
"79","add_alignments_11818918.log",NA,NA
"80","add_alignments_11818919.log","OK",3
"81","add_alignments_11818920.log",NA,NA
"82","add_alignments_11818921.log",NA,NA
"83","add_alignments_11818922.log","OK",2
"84","add_alignments_11818923.log",NA,NA
"85","add_alignments_11818924.log",NA,NA
"86","add_alignments_11818925.log","OK",2
"87","add_alignments_11818926.log","OK",2
"88","add_alignments_11818927.log","OK",2
"89","add_alignments_11818928.log","OK",2
"90","add_alignments_11818929.log","OK",2
"91","add_alignments_11818930.log",NA,NA
"92","add_alignments_11818931.log",NA,NA
"93","add_alignments_11818932.log",NA,NA
"94","add_alignments_11818933.log",NA,NA
"95","add_alignments_11818934.log",NA,NA
"96","add_alignments_11818935.log","OK",2
"97","add_alignments_11818936.log","OK",2
"98","add_alignments_11818937.log","OK",2
"99","add_alignments_11818938.log","OK",2
"100","add_alignments_11818939.log","OK",2
"101","add_alignments_11818940.log","OK",2
"102","add_alignments_11818941.log","OK",2
"103","add_alignments_11818942.log","OK",2
"104","add_alignments_11818943.log","OK",2
"105","add_alignments_11818944.log","OK",2
"106","add_alignments_11818945.log","OK",3
"107","add_alignments_11818946.log","OK",3
"108","add_alignments_11818947.log","OK",3
"109","add_alignments_11818948.log","OK",2
"110","add_alignments_11818949.log","OK",2
"111","add_alignments_11818950.log","OK",2
"112","add_alignments_11818951.log","OK",2
"113","add_alignments_11818952.log","OK",3
"114","add_alignments_11818953.log","OK",3
"115","add_alignments_11818954.log",NA,NA
"116","add_alignments_11818955.log","OK",2
"117","add_alignments_11818956.log","OK",2
"118","add_alignments_11818957.log",NA,NA
"119","add_alignments_11818958.log","OK",3
"120","add_alignments_11818959.log","OK",2
"121","add_alignments_11818960.log","OK",3
"122","add_alignments_11818961.log","OK",3
"123","add_alignments_11818962.log","OK",4
"124","add_alignments_11818963.log",NA,NA
"125","add_alignments_11818964.log","OK",3
"126","add_alignments_11818965.log","OK",3
"127","add_alignments_11818966.log","OK",4
"128","add_alignments_11818967.log","OK",4
"129","add_alignments_11818968.log",NA,NA
"130","add_alignments_11818969.log","OK",4
"131","add_alignments_11818970.log","OK",3
"132","add_alignments_11818971.log","OK",4
"133","add_alignments_11818972.log","OK",4
"134","add_alignments_11818973.log","OK",4
"135","add_alignments_11818974.log","OK",3
"136","add_alignments_11818975.log","OK",2
"137","add_alignments_11818976.log","OK",2
"138","add_alignments_11818977.log","OK",2
"139","add_alignments_11818978.log","OK",3
"140","add_alignments_11818979.log","OK",2
"141","add_alignments_11818980.log","OK",5
"142","add_alignments_11818981.log","OK",6
"143","add_alignments_11818982.log","OK",10
"144","add_alignments_11818983.log","OK",9
"145","add_alignments_11818984.log","OK",13
"146","add_alignments_11818985.log","OK",10
"147","add_alignments_11818986.log","OK",3
"148","add_alignments_11818987.log","OK",5
"149","add_alignments_11818988.log","OK",7
"150","add_alignments_11818989.log","OK",5
"151","add_alignments_11818990.log","OK",4
"152","add_alignments_11818991.log","OK",4
"153","add_alignments_11818992.log","OK",6
"154","add_alignments_11818993.log","OK",9
"155","add_alignments_11818994.log","OK",16
"156","add_alignments_11818995.log","OK",12
"157","add_alignments_11818996.log","OK",4
"158","add_alignments_11818997.log","OK",24
"159","add_alignments_11818998.log","OK",10
"160","add_alignments_11818999.log","OK",16
"161","add_alignments_11819000.log","OK",2
"162","add_alignments_11819001.log","OK",3
"163","add_alignments_11819002.log","OK",2
"164","add_alignments_11819003.log",NA,NA
"165","add_alignments_11819004.log","OK",3
"166","add_alignments_11819005.log","OK",2
"167","add_alignments_11819006.log",NA,NA
"168","add_alignments_11819007.log",NA,NA
"169","add_alignments_11819008.log",NA,NA
"170","add_alignments_11819009.log",NA,NA
"171","add_alignments_11819010.log","OK",2
