"","filename","exit_status","sys_time"
"59","add_alignments_11995333.log","OK",2
"60","add_alignments_11995334.log","OK",2
"61","add_alignments_11995335.log","OK",5
"62","add_alignments_11995336.log","OK",3
"63","add_alignments_11995337.log","OK",4
"64","add_alignments_11995338.log","OK",4
"65","add_alignments_11995339.log","OK",4
"66","add_alignments_11995340.log","OK",4
"67","add_alignments_11995341.log","OK",4
"68","add_alignments_11995342.log","OK",6
"69","add_alignments_11995343.log","OK",3
"70","add_alignments_11995344.log","OK",3
"71","add_alignments_11995345.log","OK",3
"72","add_alignments_11995346.log","OK",5
"73","add_alignments_11995347.log","OK",8
"74","add_alignments_11995348.log","OK",6
"75","add_alignments_11995349.log","OK",5
"76","add_alignments_11995350.log","OK",3
"77","add_alignments_11995351.log","OK",3
"78","add_alignments_11995352.log","OK",7
"79","add_alignments_11995353.log","OK",3
"80","add_alignments_11995354.log","OK",3
"81","add_alignments_11995355.log","OK",3
"82","add_alignments_11995356.log","OK",3
"83","add_alignments_11995357.log","OK",2
"84","add_alignments_11995358.log","OK",2
"85","add_alignments_11995359.log","OK",2
"86","add_alignments_11995360.log",NA,NA
"87","add_alignments_11995361.log","OK",2
"88","add_alignments_11995362.log","OK",3
"89","add_alignments_11995363.log",NA,NA
"90","add_alignments_11995364.log","OK",2
"91","add_alignments_11995365.log","OK",3
"92","add_alignments_11995366.log","OK",2
"93","add_alignments_11995367.log","OK",2
"94","add_alignments_11995368.log","OK",2
"95","add_alignments_11995369.log","OK",3
"96","add_alignments_11995370.log","OK",2
"97","add_alignments_11995371.log",NA,NA
"98","add_alignments_11995372.log","OK",2
"99","add_alignments_11995373.log","OK",2
"100","add_alignments_11995374.log",NA,NA
"101","add_alignments_11995375.log","OK",2
"102","add_alignments_11995376.log",NA,NA
"103","add_alignments_11995377.log","OK",2
"104","add_alignments_11995378.log",NA,NA
"105","add_alignments_11995379.log","OK",3
"106","add_alignments_11995380.log","OK",4
"107","add_alignments_11995381.log","OK",4
"108","add_alignments_11995382.log","OK",4
"109","add_alignments_11995383.log","OK",3
"110","add_alignments_11995384.log","OK",3
"111","add_alignments_11995385.log","OK",2
"112","add_alignments_11995386.log","OK",2
"113","add_alignments_11995387.log","OK",3
"114","add_alignments_11995388.log","OK",4
"115","add_alignments_11995389.log",NA,NA
"116","add_alignments_11995390.log",NA,NA
"117","add_alignments_11995391.log",NA,NA
"118","add_alignments_11995392.log",NA,NA
"119","add_alignments_11995393.log",NA,NA
"120","add_alignments_11995394.log",NA,NA
"121","add_alignments_11995395.log",NA,NA
"122","add_alignments_11995396.log",NA,NA
"123","add_alignments_11995397.log",NA,NA
"124","add_alignments_11995398.log",NA,NA
"125","add_alignments_11995399.log",NA,NA
"126","add_alignments_11995400.log",NA,NA
"127","add_alignments_11995401.log","OK",5
"128","add_alignments_11995402.log","OK",4
"129","add_alignments_11995403.log",NA,NA
"130","add_alignments_11995404.log","OK",4
"131","add_alignments_11995405.log",NA,NA
"132","add_alignments_11995406.log","OK",4
"133","add_alignments_11995407.log",NA,NA
"134","add_alignments_11995408.log","OK",4
"135","add_alignments_11995409.log","OK",3
"136","add_alignments_11995410.log","OK",3
"137","add_alignments_11995411.log","OK",3
"138","add_alignments_11995412.log","OK",3
"139","add_alignments_11995413.log","OK",4
"140","add_alignments_11995414.log","OK",3
"141","add_alignments_11995415.log","OK",6
"142","add_alignments_11995416.log","OK",8
"143","add_alignments_11995417.log","OK",13
"144","add_alignments_11995418.log","OK",10
"145","add_alignments_11995419.log","OK",16
"146","add_alignments_11995420.log","OK",13
"147","add_alignments_11995421.log","OK",4
"148","add_alignments_11995422.log","OK",7
"149","add_alignments_11995423.log","OK",8
"150","add_alignments_11995424.log","OK",6
"151","add_alignments_11995425.log","OK",5
"152","add_alignments_11995426.log","OK",5
"153","add_alignments_11995427.log","OK",8
"154","add_alignments_11995428.log","OK",11
"155","add_alignments_11995429.log","OK",21
"156","add_alignments_11995430.log","OK",14
"157","add_alignments_11995431.log","OK",5
"158","add_alignments_11995432.log","OK",30
"159","add_alignments_11995433.log","OK",13
"160","add_alignments_11995434.log","OK",18
"161","add_alignments_11995435.log","OK",2
"162","add_alignments_11995436.log","OK",3
"163","add_alignments_11995437.log","OK",2
"164","add_alignments_11995438.log","OK",3
"165","add_alignments_11995439.log","OK",3
"166","add_alignments_11995440.log","OK",3
"167","add_alignments_11995441.log","OK",3
"168","add_alignments_11995442.log","OK",3
"169","add_alignments_11995443.log","OK",3
"170","add_alignments_11995444.log",NA,NA
"171","add_alignments_11995445.log","OK",3
"172","add_alignments_11995446.log","OK",2
"173","add_alignments_11995447.log","OK",2
"174","add_alignments_11995448.log","OK",2
"175","add_alignments_11995449.log","OK",2
"176","add_alignments_11995450.log","OK",3
"177","add_alignments_11995451.log","OK",3
"178","add_alignments_11995452.log","OK",2
"179","add_alignments_11995453.log","OK",2
"180","add_alignments_11995454.log","OK",2
"181","add_alignments_11995455.log","OK",7
"182","add_alignments_11995456.log","OK",3
"183","add_alignments_11995457.log","OK",6
"184","add_alignments_11995458.log","OK",6
"185","add_alignments_11995459.log","OK",8
"186","add_alignments_11995460.log","OK",7
"187","add_alignments_11995461.log","OK",6
"188","add_alignments_11995462.log","OK",4
"189","add_alignments_11995463.log","OK",3
"190","add_alignments_11995464.log","OK",5
"191","add_alignments_11995465.log","OK",6
"192","add_alignments_11995466.log","OK",4
"193","add_alignments_11995467.log","OK",8
"194","add_alignments_11995468.log","OK",7
"195","add_alignments_11995469.log","OK",4
"196","add_alignments_11995470.log","OK",5
"197","add_alignments_11995471.log","OK",5
"198","add_alignments_11995472.log","OK",7
"199","add_alignments_11995473.log","OK",6
"200","add_alignments_11995474.log","OK",8
"201","add_alignments_11995475.log","OK",2
"202","add_alignments_11995476.log","OK",3
"203","add_alignments_11995477.log","OK",3
"204","add_alignments_11995478.log","OK",3
"205","add_alignments_11995479.log","OK",3
"206","add_alignments_11995480.log","OK",2
"207","add_alignments_11995481.log","OK",2
"208","add_alignments_11995482.log","OK",3
"209","add_alignments_11995483.log","OK",2
"210","add_alignments_11995484.log","OK",3
"211","add_alignments_11995485.log",NA,NA
"212","add_alignments_11995486.log","OK",2
"213","add_alignments_11995487.log","OK",2
"214","add_alignments_11995488.log","OK",2
"215","add_alignments_11995489.log","OK",2
"216","add_alignments_11995490.log",NA,NA
"217","add_alignments_11995491.log","OK",2
"218","add_alignments_11995492.log","OK",2
"219","add_alignments_11995493.log","OK",3
"220","add_alignments_11995494.log","OK",2
"221","add_alignments_11995495.log","OK",2
"222","add_alignments_11995496.log","OK",4
"223","add_alignments_11995497.log","OK",5
"224","add_alignments_11995498.log","OK",3
"225","add_alignments_11995499.log","OK",3
"226","add_alignments_11995500.log","OK",3
"227","add_alignments_11995501.log","OK",2
"228","add_alignments_11995502.log","OK",4
"229","add_alignments_11995503.log","OK",3
"230","add_alignments_11995504.log","OK",6
"231","add_alignments_11995505.log",NA,NA
"232","add_alignments_11995506.log","OK",3
"233","add_alignments_11995507.log","OK",4
"234","add_alignments_11995508.log","OK",5
"235","add_alignments_11995509.log","OK",3
"236","add_alignments_11995510.log","OK",5
"237","add_alignments_11995511.log","OK",3
"238","add_alignments_11995512.log","OK",6
"239","add_alignments_11995513.log","OK",4
"240","add_alignments_11995514.log","OK",4
"241","add_alignments_11995515.log","OK",3
"242","add_alignments_11995516.log","OK",4
