"","filename","operator","p","accept","reject","acceptFC","rejectFC","rejectIv","rejectOp"
"26","article_0_0_0_0_0_100_1_2_1.xml.state","BirthRateScaler.t",0.46250098114492,11470,27101,10748,26706,0,0
"27","article_0_0_0_0_0_100_1_2_1.xml.state","DeathRateScaler.t",0.179413758673519,13226,25248,12334,25040,1045,1045
"28","article_0_0_0_0_0_100_1_2_2.xml.state","treeScaler.t",0.829188647775424,5118,33053,5064,31991,0,0
"29","article_0_0_0_0_0_100_1_2_2.xml.state","treeRootScaler.t",0.763588572314318,5917,32719,5853,31669,2812,2812
"30","article_0_0_0_0_0_100_1_2_2.xml.state","UniformOperator.t",NA,88444,296694,85588,288460,0,0
"31","article_0_0_0_0_0_100_1_2_2.xml.state","SubtreeSlide.t",0.164827957596274,3423,188672,3381,183157,82683,82683
"32","article_0_0_0_0_0_100_1_2_2.xml.state","narrow.t",NA,11936,180361,11345,175445,0,0
"33","article_0_0_0_0_0_100_1_2_2.xml.state","wide.t",NA,36,38114,29,37054,19376,19376
"34","article_0_0_0_0_0_100_1_2_2.xml.state","WilsonBalding.t",NA,63,38361,42,37294,3132,3132
"35","article_0_0_0_0_0_100_1_2_2.xml.state","BirthRateScaler.t",0.462969962278166,11305,27294,10589,26919,0,0
"36","article_0_0_0_0_0_100_1_2_2.xml.state","DeathRateScaler.t",0.164051264830552,12033,26458,11099,26270,1417,1417
"37","article_0_0_0_0_0_100_2_1_1.xml.state","treeScaler.t",0.824640916211221,4994,33430,4948,32397,0,0
"38","article_0_0_0_0_0_100_2_1_1.xml.state","treeRootScaler.t",0.744394593190145,5496,33040,5426,32026,6270,6270
"39","article_0_0_0_0_0_100_2_1_1.xml.state","UniformOperator.t",NA,88435,295363,85476,287163,0,0
"40","article_0_0_0_0_0_100_2_1_1.xml.state","SubtreeSlide.t",0.167796923905959,3433,189233,3396,183773,83379,83379
"41","article_0_0_0_0_0_100_2_1_1.xml.state","narrow.t",NA,8103,184889,7569,179751,0,0
"42","article_0_0_0_0_0_100_2_1_1.xml.state","wide.t",NA,33,38405,20,37307,19467,19467
"43","article_0_0_0_0_0_100_2_1_1.xml.state","WilsonBalding.t",NA,42,38273,15,37206,3259,3259
"44","article_0_0_0_0_0_100_2_1_1.xml.state","BirthRateScaler.t",0.456250397039134,10809,27307,10081,26909,0,0
"45","article_0_0_0_0_0_100_2_1_1.xml.state","DeathRateScaler.t",0.188939609423982,13809,24907,12776,24725,1128,1128
"46","article_0_0_0_0_0_100_2_1_2.xml.state","treeScaler.t",0.825490114927648,5044,33067,4990,31982,0,0
"47","article_0_0_0_0_0_100_2_1_2.xml.state","treeRootScaler.t",0.747118205027813,5613,32634,5550,31612,6166,6166
"48","article_0_0_0_0_0_100_2_1_2.xml.state","UniformOperator.t",NA,89110,295960,86227,287768,0,0
"49","article_0_0_0_0_0_100_2_1_2.xml.state","SubtreeSlide.t",0.143514173961233,3857,188456,3819,182978,81815,81815
"50","article_0_0_0_0_0_100_2_1_2.xml.state","narrow.t",NA,8105,184052,7520,179092,0,0
"51","article_0_0_0_0_0_100_2_1_2.xml.state","wide.t",NA,33,38630,22,37538,19401,19401
"52","article_0_0_0_0_0_100_2_1_2.xml.state","WilsonBalding.t",NA,43,38549,14,37457,3258,3258
"53","article_0_0_0_0_0_100_2_1_2.xml.state","BirthRateScaler.t",0.443235775500561,10326,27922,9637,27491,0,0
"54","article_0_0_0_0_0_100_2_1_2.xml.state","DeathRateScaler.t",0.16851019174187,12266,26334,11330,26130,1435,1435
"55","article_0_0_0_0_0_100_2_2_1.xml.state","treeScaler.t",0.822712209700586,4945,33571,4893,32475,0,0
"56","article_0_0_0_0_0_100_2_2_1.xml.state","treeRootScaler.t",0.71138513626322,4685,33965,4609,32932,5501,5501
"57","article_0_0_0_0_0_100_2_2_1.xml.state","UniformOperator.t",NA,87954,296552,85224,288445,0,0
"58","article_0_0_0_0_0_100_2_2_1.xml.state","SubtreeSlide.t",0.397487910390828,1409,191248,1371,185764,91161,91161
"59","article_0_0_0_0_0_100_2_2_1.xml.state","narrow.t",NA,4539,187297,4178,182238,0,0
"60","article_0_0_0_0_0_100_2_2_1.xml.state","wide.t",NA,12,38572,6,37456,19405,19405
"61","article_0_0_0_0_0_100_2_2_1.xml.state","WilsonBalding.t",NA,36,38634,16,37513,3239,3239
"62","article_0_0_0_0_0_100_2_2_1.xml.state","BirthRateScaler.t",0.448115491176886,10696,27616,9989,27188,0,0
"63","article_0_0_0_0_0_100_2_2_1.xml.state","DeathRateScaler.t",0.171029335807119,12529,25741,11589,25594,1413,1413
"64","article_0_0_0_0_0_100_2_2_2.xml.state","treeScaler.t",0.811621912512346,4657,34077,4614,32995,0,0
"65","article_0_0_0_0_0_100_2_2_2.xml.state","treeRootScaler.t",0.753890835746932,5766,32630,5691,31615,3552,3552
"66","article_0_0_0_0_0_100_2_2_2.xml.state","UniformOperator.t",NA,87908,296668,85103,288498,0,0
"67","article_0_0_0_0_0_100_2_2_2.xml.state","SubtreeSlide.t",0.156991144572265,3719,188515,3667,182947,82959,82959
"68","article_0_0_0_0_0_100_2_2_2.xml.state","narrow.t",NA,4574,187931,4175,182733,0,0
"69","article_0_0_0_0_0_100_2_2_2.xml.state","wide.t",NA,25,38442,14,37307,19368,19368
