"","filename","strees_identical"
"1","article_0_0_0_0_0_100.RDa",FALSE
"2","article_0_0_0_0_0_101.RDa",FALSE
"3","article_0_0_0_0_0_102.RDa",FALSE
"4","article_0_0_0_0_0_103.RDa",FALSE
"5","article_0_0_0_0_0_104.RDa",FALSE
"6","article_0_0_0_0_0_105.RDa",FALSE
"7","article_0_0_0_0_0_106.RDa",FALSE
"8","article_0_0_0_0_0_107.RDa",FALSE
"9","article_0_0_0_0_0_108.RDa",FALSE
"10","article_0_0_0_0_0_109.RDa",FALSE
"11","article_0_0_0_0_0_110.RDa",FALSE
"12","article_0_0_0_0_0_111.RDa",FALSE
"13","article_0_0_0_0_0_112.RDa",FALSE
"14","article_0_0_0_0_0_113.RDa",FALSE
"15","article_0_0_0_0_0_114.RDa",FALSE
"16","article_0_0_0_0_0_115.RDa",FALSE
"17","article_0_0_0_0_0_116.RDa",FALSE
"18","article_0_0_0_0_0_117.RDa",FALSE
"19","article_0_0_0_0_0_118.RDa",FALSE
"20","article_0_0_0_0_0_119.RDa",FALSE
"21","article_0_0_0_0_1_120.RDa",FALSE
"22","article_0_0_0_0_1_121.RDa",FALSE
"23","article_0_0_0_0_1_122.RDa",FALSE
"24","article_0_0_0_0_1_123.RDa",FALSE
"25","article_0_0_0_0_1_124.RDa",FALSE
"26","article_0_0_0_0_1_125.RDa",FALSE
"27","article_0_0_0_0_1_126.RDa",FALSE
"28","article_0_0_0_0_1_127.RDa",FALSE
"29","article_0_0_0_0_1_128.RDa",FALSE
"30","article_0_0_0_0_1_129.RDa",FALSE
"31","article_0_0_0_0_1_130.RDa",FALSE
"32","article_0_0_0_0_1_131.RDa",FALSE
"33","article_0_0_0_0_1_132.RDa",FALSE
"34","article_0_0_0_0_1_133.RDa",FALSE
"35","article_0_0_0_0_1_134.RDa",FALSE
"36","article_0_0_0_0_1_135.RDa",FALSE
"37","article_0_0_0_0_1_136.RDa",FALSE
"38","article_0_0_0_0_1_137.RDa",FALSE
"39","article_0_0_0_0_1_138.RDa",FALSE
"40","article_0_0_0_0_1_139.RDa",FALSE
"41","article_0_0_1_0_0_140.RDa",FALSE
"42","article_0_0_1_0_0_141.RDa",FALSE
"43","article_0_0_1_0_0_142.RDa",FALSE
"44","article_0_0_1_0_0_143.RDa",FALSE
"45","article_0_0_1_0_0_144.RDa",FALSE
"46","article_0_0_1_0_0_145.RDa",FALSE
