"","filename","operator","p","accept","reject","acceptFC","rejectFC","rejectIv","rejectOp"
"1","article_0_0_0_0_0_100_1_1_1.xml.state","treeScaler.t",0.862982067998444,3450,34978,3401,33898,0,0
"2","article_0_0_0_0_0_100_1_1_1.xml.state","treeRootScaler.t",0.757469963677031,3667,34718,3614,33698,3709,3709
"3","article_0_0_0_0_0_100_1_1_1.xml.state","UniformOperator.t",NA,69424,315808,67101,307218,0,0
"4","article_0_0_0_0_0_100_1_1_1.xml.state","SubtreeSlide.t",0.227839626908914,8955,182829,8802,177421,54289,54289
"5","article_0_0_0_0_0_100_1_1_1.xml.state","narrow.t",NA,11135,181259,10556,176319,0,0
"6","article_0_0_0_0_0_100_1_1_1.xml.state","wide.t",NA,24,38159,16,37033,19352,19352
"7","article_0_0_0_0_0_100_1_1_1.xml.state","WilsonBalding.t",NA,44,38532,22,37359,3228,3228
"8","article_0_0_0_0_0_100_1_1_1.xml.state","BirthRateScaler.t",0.450782224240699,10825,27638,10173,27210,0,0
"9","article_0_0_0_0_0_100_1_1_1.xml.state","DeathRateScaler.t",0.171760232087989,12576,25980,11652,25747,1395,1395
"10","article_0_0_0_0_0_100_1_1_2.xml.state","treeScaler.t",0.86434986702162,3422,34764,3376,33727,0,0
"11","article_0_0_0_0_0_100_1_1_2.xml.state","treeRootScaler.t",0.814644562515279,5019,33138,4960,32080,764,764
"12","article_0_0_0_0_0_100_1_1_2.xml.state","UniformOperator.t",NA,69847,315159,67589,306240,0,0
"13","article_0_0_0_0_0_100_1_1_2.xml.state","SubtreeSlide.t",0.177708521537038,11535,180957,11427,175510,46573,46573
"14","article_0_0_0_0_0_100_1_1_2.xml.state","narrow.t",NA,10793,181816,10214,176763,0,0
"15","article_0_0_0_0_0_100_1_1_2.xml.state","wide.t",NA,31,38462,21,37309,19369,19369
"16","article_0_0_0_0_0_100_1_1_2.xml.state","WilsonBalding.t",NA,30,38209,19,37091,3040,3040
"17","article_0_0_0_0_0_100_1_1_2.xml.state","BirthRateScaler.t",0.445085046345746,10459,27859,9805,27407,0,0
"18","article_0_0_0_0_0_100_1_1_2.xml.state","DeathRateScaler.t",0.192120052046021,13976,24525,13009,24352,836,836
"19","article_0_0_0_0_0_100_1_2_1.xml.state","treeScaler.t",0.868645376189711,3506,34962,3462,33847,0,0
"20","article_0_0_0_0_0_100_1_2_1.xml.state","treeRootScaler.t",0.80815444083619,4661,33489,4610,32430,587,587
"21","article_0_0_0_0_0_100_1_2_1.xml.state","UniformOperator.t",NA,66297,318893,64013,310018,0,0
"22","article_0_0_0_0_0_100_1_2_1.xml.state","SubtreeSlide.t",0.153795608486144,13455,179165,13317,173786,41850,41850
