"","filename","n_posteriors"
"1","article_0_0_0_0_0_100.RDa",8
"2","article_0_0_0_0_0_101.RDa",8
"3","article_0_0_0_0_0_102.RDa",8
"4","article_0_0_0_0_0_103.RDa",8
