"","filename","sti","ai","pi","posterior","likelihood","prior","treeLikelihood","TreeHeight","BirthDeath","birthRate2","relativeDeathRate2"
"1","article_0_0_0_0_0_100.RDa",1,1,1,447.794486694082,448.656369764029,495.600153581983,448.656369764029,494.98411255647,495.600153581959,844.442778680473,355.172819299903
"2","article_0_0_0_0_0_100.RDa",1,1,2,532.267894538826,533.344339277573,595.871793217196,533.344339277573,547.53874951068,595.871793217196,886.471634883494,780.178226031663
"3","article_0_0_0_0_0_100.RDa",1,2,1,521.676269565246,522.632887595949,519.213801954847,522.632887595949,362.764421882302,519.213801954826,906.654644474359,869.088727964364
"4","article_0_0_0_0_0_100.RDa",1,2,2,411.720345761917,412.492211206203,524.817116512812,412.492211206203,413.309956345426,524.817116512839,797.321490148436,665.535120207878
"5","article_0_0_0_0_0_100.RDa",2,1,1,515.20757282185,516.163707564472,672.228649348256,516.163707564472,679.051130057161,672.228649348237,759.246640802283,799.679540711404
"6","article_0_0_0_0_0_100.RDa",2,1,2,493.834073192317,495.043592883718,555.331691837275,495.043592883718,724.604627277384,555.331691837271,660.566754354662,740.04595032987
"7","article_0_0_0_0_0_100.RDa",2,2,1,517.186765170407,518.212270094033,663.527712313113,518.212270094033,397.723419627357,663.527712313112,765.280747642158,713.16400665438
"8","article_0_0_0_0_0_100.RDa",2,2,2,393.075252496351,394.093902599513,381.540521850243,394.093902599513,394.568505002964,381.540521850252,688.46211640915,628.160335589084
"9","article_0_0_0_0_0_101.RDa",1,1,1,355.963586473387,356.90417123641,362.007517694695,356.90417123641,412.285027958115,362.007517694673,518.318066091561,529.019608671134
"10","article_0_0_0_0_0_101.RDa",1,1,2,399.942381749976,400.769655747201,408.694304226944,400.769655747201,337.33290439935,408.694304226969,740.63262750793,734.185909220437
"11","article_0_0_0_0_0_101.RDa",1,2,1,315.408857086551,316.53418920569,310.047390834277,316.53418920569,334.700722141374,310.047390834255,489.270926106195,453.802108749577
"12","article_0_0_0_0_0_101.RDa",1,2,2,375.820799154788,376.624325298538,391.007280227604,376.624325298538,439.698877415968,391.007280227608,799.834289326709,739.072818978964
"13","article_0_0_0_0_0_101.RDa",2,1,1,351.658788034995,352.52147189812,257.176561515822,352.52147189812,279.234483091635,257.1765615158,692.50434498475,720.647401721743
"14","article_0_0_0_0_0_101.RDa",2,1,2,312.994151413757,313.810929326441,250.563415166827,313.810929326441,237.805166261432,250.563415166808,606.169114086898,902.56188781663
"15","article_0_0_0_0_0_101.RDa",2,2,1,358.935127327626,359.706810257529,272.475249101716,359.706810257529,312.141750802738,272.475249101707,818.248967904188,730.566918803997
"16","article_0_0_0_0_0_101.RDa",2,2,2,331.133060289543,332.133768717891,261.996356033452,332.133768717891,398.007074639091,261.99635603346,653.773117438904,430.351731377652
"17","article_0_0_0_0_0_102.RDa",1,1,1,945.398015343888,946.275544107593,965.969108530342,946.275544107593,692.85735372412,965.969108530649,872.538590944939,749.761430115567
"18","article_0_0_0_0_0_102.RDa",1,1,2,860.84575499381,861.111652619674,752.489123077563,861.111652619674,1001,752.48912307755,888.676737724909,710.531923294298
"19","article_0_0_0_0_0_102.RDa",1,2,1,873.963721573313,874.597578814607,775.161305191561,874.597578814607,754.15819955116,775.161305191694,766.963759339399,668.02750147575
"20","article_0_0_0_0_0_102.RDa",1,2,2,792.754271156231,793.591489132458,482.061734768189,793.591489132458,658.825349076022,482.06173476795,592.978826907611,380.368074759355
"21","article_0_0_0_0_0_102.RDa",2,1,1,935.270531645628,935.332494230522,809.388924110107,935.332494230522,1001,809.388924109958,795.452500586034,545.691081528151
"22","article_0_0_0_0_0_102.RDa",2,1,2,882.617904148447,883.313431802745,884.837710924835,883.313431802745,864.526515909216,884.837710924331,1001,839.451459584001
"23","article_0_0_0_0_0_102.RDa",2,2,1,903.04997543155,903.123781339305,524.241116453518,903.123781339305,909.143370203391,524.241116453633,993.366538910479,641.644583033099
"24","article_0_0_0_0_0_102.RDa",2,2,2,877.969085875942,878.721383801017,894.597621162863,878.721383801017,750.715364047766,894.597621162912,822.524825933932,714.10284179017
"25","article_0_0_0_0_0_103.RDa",1,1,1,584.791137868904,585.443342677285,952.993428259506,585.443342677285,981.082492746212,952.993428259457,905.770024900443,767.532358523921
"26","article_0_0_0_0_0_103.RDa",1,1,2,595.51570936839,596.262102708584,726.11610147743,596.262102708584,499.145642186606,726.116101477429,826.854417547174,465.422639218118
"27","article_0_0_0_0_0_103.RDa",1,2,1,652.265293383919,652.946072374498,665.07257390638,652.946072374498,904.137730832191,665.072573906176,909.358854308015,881.365224343062
"28","article_0_0_0_0_0_103.RDa",1,2,2,629.386379553597,630.509831024288,600.214628847513,630.509831024288,569.214698663107,600.214628847397,786.252191960616,647.569344017824
"29","article_0_0_0_0_0_103.RDa",2,1,1,670.623803424769,671.394540957982,890.588927465096,671.394540957982,600.563883584568,890.588927465039,748.096587455608,747.8540898936
"30","article_0_0_0_0_0_103.RDa",2,1,2,571.318058379572,572.431372146396,597.213339636665,572.431372146396,468.268028551925,597.213339636616,718.498981677184,700.506899184842
"31","article_0_0_0_0_0_103.RDa",2,2,1,567.623442543111,568.637455696491,580.140679294743,568.637455696491,483.78093087863,580.1406792947,804.525748166687,653.407511335248
"32","article_0_0_0_0_0_103.RDa",2,2,2,724.518761375009,725.453206708742,989.91468010607,725.453206708742,748.959547798065,989.914680106037,890.19906052422,821.272293314232
"33","article_0_0_0_0_0_104.RDa",1,1,1,727.9721155928,728.897022237269,961.902364416267,728.897022237269,1001,961.902364415763,826.680408970284,642.038617838435
"34","article_0_0_0_0_0_104.RDa",1,1,2,815.310706199881,815.989989027306,965.149169037699,815.989989027306,704.617446355525,965.149169037373,1001,814.665967255497
"35","article_0_0_0_0_0_104.RDa",1,2,1,748.190038536415,749.169185625651,823.337083705527,749.169185625651,550.560721079676,823.337083705534,721.024094232981,710.960448715806
"36","article_0_0_0_0_0_104.RDa",1,2,2,911.856308992151,912.518186171333,1001,912.518186171333,853.013954422499,1001,715.143182175663,726.438698274594
"37","article_0_0_0_0_0_104.RDa",2,1,1,639.748020339289,640.4002433982,855.290473873367,640.4002433982,622.751145706515,855.290473873177,848.860827597262,613.889305673345
"38","article_0_0_0_0_0_104.RDa",2,1,2,789.675321078646,790.49326339876,1001,790.49326339876,1001,1001,698.298912820054,675.628299342911
"39","article_0_0_0_0_0_104.RDa",2,2,1,838.108329323851,838.684030405367,916.718784610385,838.684030405367,1001,916.718784610139,949.293428734509,811.921591566509
"40","article_0_0_0_0_0_104.RDa",2,2,2,731.545918393244,732.946964423775,812.64778336355,732.946964423775,606.117654590907,812.647783364368,819.341599184972,697.60747127549
"41","article_0_0_0_0_0_105.RDa",1,1,1,873.12994685392,873.53413133522,845.643645483918,873.53413133522,1001,845.643645483908,696.20958160552,665.050328799421
"42","article_0_0_0_0_0_105.RDa",1,1,2,783.606238961107,784.180304645266,765.847068014058,784.180304645266,648.975976309679,765.847068014377,761.463580464447,610.034423528886
"43","article_0_0_0_0_0_105.RDa",1,2,1,729.331865016994,730.221879079961,1001,730.221879079961,637.051819875176,1001,1001,837.958030200455
"44","article_0_0_0_0_0_105.RDa",1,2,2,770.888482133847,771.493100675379,889.953172362081,771.493100675379,811.570575708249,889.953172361945,1001,800.588819898255
"45","article_0_0_0_0_0_105.RDa",2,1,1,792.66210074026,793.249766459382,903.484703619373,793.249766459382,743.937645284957,903.484703619319,943.6498674149,838.026212153401
"46","article_0_0_0_0_0_105.RDa",2,1,2,677.42199450427,678.170514228346,721.118249145401,678.170514228346,492.703112465731,721.118249145385,631.956820424396,694.06849557901
"47","article_0_0_0_0_0_105.RDa",2,2,1,754.395914801315,755.398128180012,1001,755.398128180012,1001,1001,644.76704967564,723.382418390444
"48","article_0_0_0_0_0_105.RDa",2,2,2,840.75572248645,841.112019656432,1001,841.112019656432,879.103404270842,1001,928.532603123836,672.322635456489
"49","article_0_0_0_0_0_106.RDa",1,1,1,955.406727973115,956.91137209454,737.469241006458,956.91137209454,1001,737.469241005983,1001,555.147055551126
"50","article_0_0_0_0_0_106.RDa",1,1,2,902.14920534658,902.719987684212,631.373376719967,902.719987684212,852.368825863919,631.373376719973,1001,709.376461779733
"51","article_0_0_0_0_0_106.RDa",1,2,1,883.806437246512,884.363821664015,801.331769596181,884.363821664015,1001,801.331769593927,923.790463463177,799.806366127507
"52","article_0_0_0_0_0_106.RDa",1,2,2,987.066443365094,987.758312553836,1001,987.758312553836,1001,1001,934.335694566312,858.878577892515
"53","article_0_0_0_0_0_106.RDa",2,1,1,966.073335690276,966.921878100892,832.83989680989,966.921878100892,954.763085485119,832.839896810031,578.571850137569,689.839971333873
"54","article_0_0_0_0_0_106.RDa",2,1,2,885.376495654951,885.708256461364,530.357306645928,885.708256461364,1001,530.357306645717,858.905830463305,436.940626405933
"55","article_0_0_0_0_0_106.RDa",2,2,1,928.00110206475,928.731719699189,699.617161220578,928.731719699189,1001,699.617161220385,1001,727.199178908116
"56","article_0_0_0_0_0_106.RDa",2,2,2,943.26304884555,943.656122612364,531.295569613157,943.656122612364,1001,531.295569613518,924.493599589539,577.814881744538
"57","article_0_0_0_0_0_107.RDa",1,1,1,781.190750961953,782.280717871104,845.400430369088,782.280717871104,701.724766255817,845.40043036966,794.59372105093,725.485017731685
