"","rng_seed","sirg","siri","scr","erg","eri","age","mutation_rate","n_alignments","sequence_length","nspp","n_beast_runs"
"article_0_0_2_3_0_180.RDa",180,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_181.RDa",181,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_182.RDa",182,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_183.RDa",183,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_184.RDa",184,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_185.RDa",185,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_186.RDa",186,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_187.RDa",187,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_188.RDa",188,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_189.RDa",189,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_190.RDa",190,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_191.RDa",191,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_192.RDa",192,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_193.RDa",193,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_194.RDa",194,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_195.RDa",195,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_196.RDa",196,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_197.RDa",197,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_198.RDa",198,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_0_199.RDa",199,0.3,0.3,0.1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_0_2_3_1_200.RDa",200,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_201.RDa",201,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_202.RDa",202,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_203.RDa",203,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_204.RDa",204,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_205.RDa",205,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_206.RDa",206,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_207.RDa",207,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_208.RDa",208,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_209.RDa",209,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_210.RDa",210,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_211.RDa",211,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_212.RDa",212,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_213.RDa",213,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_214.RDa",214,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_215.RDa",215,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_216.RDa",216,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_217.RDa",217,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_218.RDa",218,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_0_2_3_1_219.RDa",219,0.3,0.3,0.1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_0_3_0_220.RDa",220,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_221.RDa",221,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_222.RDa",222,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_223.RDa",223,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_224.RDa",224,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_225.RDa",225,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_226.RDa",226,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_227.RDa",227,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_228.RDa",228,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_229.RDa",229,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_230.RDa",230,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_231.RDa",231,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_232.RDa",232,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_233.RDa",233,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_234.RDa",234,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_235.RDa",235,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_236.RDa",236,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_237.RDa",237,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_238.RDa",238,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_0_239.RDa",239,0.3,0.3,0.3,0,0,15,0.5,2,1000,1000,2
"article_0_1_0_3_1_240.RDa",240,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_241.RDa",241,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_242.RDa",242,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_243.RDa",243,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
