"","rng_seed","sirg","siri","scr","erg","eri","age","mutation_rate","n_alignments","sequence_length","nspp","n_beast_runs"
"article_0_2_0_3_0_347.RDa",347,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_348.RDa",348,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_349.RDa",349,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_350.RDa",350,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_351.RDa",351,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_352.RDa",352,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_353.RDa",353,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_354.RDa",354,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_355.RDa",355,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_356.RDa",356,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_357.RDa",357,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_358.RDa",358,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_359.RDa",359,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_1_360.RDa",360,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_361.RDa",361,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_362.RDa",362,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_363.RDa",363,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_364.RDa",364,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_365.RDa",365,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_366.RDa",366,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_367.RDa",367,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_368.RDa",368,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_369.RDa",369,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_370.RDa",370,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_371.RDa",371,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_372.RDa",372,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_373.RDa",373,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_374.RDa",374,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_375.RDa",375,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_376.RDa",376,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_377.RDa",377,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_378.RDa",378,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_0_3_1_379.RDa",379,0.3,0.3,1,0,0,15,0.5,2,10000,1000,2
"article_0_2_1_3_0_380.RDa",380,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_381.RDa",381,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_382.RDa",382,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_383.RDa",383,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_384.RDa",384,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_385.RDa",385,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_386.RDa",386,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_387.RDa",387,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_388.RDa",388,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_389.RDa",389,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_390.RDa",390,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_391.RDa",391,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_392.RDa",392,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_393.RDa",393,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_394.RDa",394,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_395.RDa",395,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_396.RDa",396,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_397.RDa",397,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_398.RDa",398,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_0_399.RDa",399,0.3,0.3,1,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_2_1_3_1_400.RDa",400,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_401.RDa",401,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_402.RDa",402,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_403.RDa",403,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_404.RDa",404,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_405.RDa",405,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_406.RDa",406,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_407.RDa",407,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_408.RDa",408,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_409.RDa",409,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_410.RDa",410,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_411.RDa",411,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_412.RDa",412,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_413.RDa",413,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_414.RDa",414,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_415.RDa",415,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_416.RDa",416,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_417.RDa",417,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_418.RDa",418,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_1_3_1_419.RDa",419,0.3,0.3,1,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_2_2_3_0_420.RDa",420,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_421.RDa",421,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_422.RDa",422,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_423.RDa",423,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_424.RDa",424,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_425.RDa",425,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_426.RDa",426,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_427.RDa",427,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_428.RDa",428,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_429.RDa",429,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_430.RDa",430,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_431.RDa",431,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_432.RDa",432,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_433.RDa",433,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_434.RDa",434,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_435.RDa",435,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_436.RDa",436,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_437.RDa",437,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_438.RDa",438,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_0_439.RDa",439,0.3,0.3,1,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_2_2_3_1_440.RDa",440,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_441.RDa",441,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_442.RDa",442,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_443.RDa",443,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_444.RDa",444,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_445.RDa",445,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_446.RDa",446,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_447.RDa",447,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_448.RDa",448,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_449.RDa",449,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_450.RDa",450,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_451.RDa",451,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_452.RDa",452,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_453.RDa",453,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_454.RDa",454,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_455.RDa",455,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_456.RDa",456,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_457.RDa",457,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_458.RDa",458,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_2_3_1_459.RDa",459,0.3,0.3,1,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_0_3_0_460.RDa",460,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_461.RDa",461,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_462.RDa",462,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_463.RDa",463,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_464.RDa",464,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_465.RDa",465,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_466.RDa",466,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_467.RDa",467,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_468.RDa",468,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_469.RDa",469,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_470.RDa",470,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_471.RDa",471,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_472.RDa",472,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_473.RDa",473,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_474.RDa",474,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_475.RDa",475,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_476.RDa",476,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_477.RDa",477,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_478.RDa",478,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_0_479.RDa",479,0.3,0.3,1e+06,0,0,15,0.5,2,1000,1000,2
"article_0_3_0_3_1_480.RDa",480,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_481.RDa",481,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_482.RDa",482,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_483.RDa",483,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_484.RDa",484,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_485.RDa",485,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_486.RDa",486,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_487.RDa",487,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_488.RDa",488,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_489.RDa",489,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_490.RDa",490,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_491.RDa",491,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_492.RDa",492,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_493.RDa",493,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_494.RDa",494,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_495.RDa",495,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_496.RDa",496,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_497.RDa",497,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_498.RDa",498,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_0_3_1_499.RDa",499,0.3,0.3,1e+06,0,0,15,0.5,2,10000,1000,2
"article_0_3_1_3_0_500.RDa",500,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_501.RDa",501,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_502.RDa",502,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_503.RDa",503,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_504.RDa",504,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_505.RDa",505,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_506.RDa",506,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_507.RDa",507,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_508.RDa",508,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_509.RDa",509,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_510.RDa",510,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_511.RDa",511,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_512.RDa",512,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_513.RDa",513,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_514.RDa",514,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_515.RDa",515,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_516.RDa",516,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_517.RDa",517,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_518.RDa",518,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_0_519.RDa",519,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_3_1_3_1_520.RDa",520,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_521.RDa",521,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_522.RDa",522,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_523.RDa",523,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_524.RDa",524,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_525.RDa",525,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_526.RDa",526,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_527.RDa",527,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_528.RDa",528,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_529.RDa",529,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_530.RDa",530,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_531.RDa",531,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_532.RDa",532,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_533.RDa",533,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_534.RDa",534,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_535.RDa",535,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_536.RDa",536,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_537.RDa",537,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_538.RDa",538,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_1_3_1_539.RDa",539,0.3,0.3,1e+06,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_3_2_3_0_540.RDa",540,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_541.RDa",541,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_542.RDa",542,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_543.RDa",543,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_544.RDa",544,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_545.RDa",545,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_546.RDa",546,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_547.RDa",547,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_548.RDa",548,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_549.RDa",549,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_550.RDa",550,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_551.RDa",551,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_552.RDa",552,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_553.RDa",553,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_554.RDa",554,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_555.RDa",555,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_556.RDa",556,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_557.RDa",557,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_558.RDa",558,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_0_559.RDa",559,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_3_2_3_1_560.RDa",560,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_561.RDa",561,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_562.RDa",562,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_563.RDa",563,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_564.RDa",564,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_565.RDa",565,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_566.RDa",566,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_567.RDa",567,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_568.RDa",568,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_569.RDa",569,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_570.RDa",570,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_571.RDa",571,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_572.RDa",572,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_573.RDa",573,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_574.RDa",574,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_575.RDa",575,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_576.RDa",576,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_577.RDa",577,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_578.RDa",578,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_3_2_3_1_579.RDa",579,0.3,0.3,1e+06,0.2,0.2,15,0.5,2,10000,1000,2
"article_1_0_0_3_0_580.RDa",580,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_581.RDa",581,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_582.RDa",582,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_583.RDa",583,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_584.RDa",584,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_585.RDa",585,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_586.RDa",586,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_587.RDa",587,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_588.RDa",588,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_589.RDa",589,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_590.RDa",590,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_591.RDa",591,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_592.RDa",592,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_593.RDa",593,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_594.RDa",594,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_595.RDa",595,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_596.RDa",596,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_597.RDa",597,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
"article_1_0_0_3_0_598.RDa",598,0.5,0.5,0.1,0,0,15,0.5,2,1000,1000,2
