"","filename","sti","ai","pi","posterior","likelihood","prior","treeLikelihood","TreeHeight","BirthDeath","birthRate2","relativeDeathRate2"
"1","article_0_0_0_0_0_100.RDa",1,1,1,322.357208861092,322.194529847982,345.385554906164,322.194529847982,478.828488706217,345.38555490908,863.95740456732,829.852246956392
"2","article_0_0_0_0_0_100.RDa",1,1,2,351.278372927668,351.443711143839,359.244092109978,351.443711143839,467.64901338579,359.244092108251,838.36341389906,778.727854821468
"3","article_0_0_0_0_0_100.RDa",1,2,1,343.912805671897,344.204917689796,324.995414816443,344.204917689796,610.805537461186,324.995414816464,817.539966541853,553.619710854923
"4","article_0_0_0_0_0_100.RDa",1,2,2,308.915634073498,309.074645813932,331.717845894151,309.074645813932,519.504113315849,331.717845894325,778.586020234073,730.648748304746
"5","article_0_0_0_0_0_100.RDa",2,1,1,301.823577301458,302.00500597494,316.918027145254,302.00500597494,512.567629339182,316.918027144137,766.042527053863,610.713014957367
"6","article_0_0_0_0_0_100.RDa",2,1,2,295.698429182746,296.036355828712,267.45858442324,296.036355828712,409.027247255136,267.4585844214,1001,742.460453864145
"7","article_0_0_0_0_0_100.RDa",2,2,1,320.182436571528,320.387464631849,325.474185757227,320.387464631849,329.626022821895,325.474185756995,707.673048153418,605.813935353482
"8","article_0_0_0_0_0_100.RDa",2,2,2,331.034398432329,331.452498839812,292.903276652545,331.452498839812,549.774372369552,292.903276652584,764.354644786288,630.238484637556
"9","article_0_0_0_0_0_101.RDa",1,1,1,188.667377527674,188.856454812734,180.639963524449,188.856454812734,473.458823328796,180.639963524602,758.554245395052,534.141429977649
"10","article_0_0_0_0_0_101.RDa",1,1,2,180.273982701107,180.450953533038,154.46179574998,180.450953533038,541.448027595866,154.461795750018,637.395440525384,571.473393777746
"11","article_0_0_0_0_0_101.RDa",1,2,1,173.88624678008,174.096899632189,154.062004728674,174.096899632189,416.568087921655,154.062004728339,519.747209429125,596.110499140456
"12","article_0_0_0_0_0_101.RDa",1,2,2,146.750451863042,146.784678658876,149.172667630254,146.784678658876,254.5490892398,149.17266763087,525.180732828888,735.825573947104
"13","article_0_0_0_0_0_101.RDa",2,1,1,187.606767448324,187.865583840792,160.6459295773,187.865583840792,634.44299442245,160.645929577355,390.770630506079,334.627849621438
"14","article_0_0_0_0_0_101.RDa",2,1,2,160.463933749223,160.600882080956,146.638432378407,160.600882080956,267.792810572464,146.638432378491,474.157183238419,530.040051147014
"15","article_0_0_0_0_0_101.RDa",2,2,1,187.000436053417,187.105027687,175.482016871744,187.105027687,683.90739650315,175.482016872578,594.262859547658,735.950536556207
"16","article_0_0_0_0_0_101.RDa",2,2,2,185.926716469756,186.022153667281,187.086762576706,186.022153667281,383.109130534265,187.086762577434,504.805612062989,594.97400996602
"17","article_0_0_0_0_0_102.RDa",1,1,1,724.295366412045,724.713388666252,689.111883287107,724.713388666252,962.414216608443,689.111883279733,734.862114405097,587.283076476961
"18","article_0_0_0_0_0_102.RDa",1,1,2,701.424527593764,703.737100212894,486.785512396814,703.737100212894,871.016689384681,486.785512393448,836.655457946105,495.000468829341
"19","article_0_0_0_0_0_102.RDa",1,2,1,869.262960368515,870.570297298298,747.290122528171,870.570297298298,983.686150813067,747.290122527229,750.500680022617,719.076275624548
"20","article_0_0_0_0_0_102.RDa",1,2,2,891.223672452687,891.660233612137,866.58530421627,891.660233612137,978.157146067707,866.585304216393,886.019100482202,792.514879450981
"21","article_0_0_0_0_0_102.RDa",2,1,1,801.720696598462,803.878972847606,554.952783382228,803.878972847606,967.066477018233,554.952783383426,690.313244376792,462.561926408692
"22","article_0_0_0_0_0_102.RDa",2,1,2,741.90083124741,741.989201403841,768.882340502095,741.989201403841,838.766574696481,768.882340502844,795.446003749206,616.99480083465
"23","article_0_0_0_0_0_102.RDa",2,2,1,835.876998501979,836.631909385765,702.566285447413,836.631909385765,972.765671423536,702.566285435028,581.913032647518,631.058851072587
"24","article_0_0_0_0_0_102.RDa",2,2,2,878.341744299345,879.929567088087,614.564835685216,879.929567088087,1001,614.564835684778,738.843850331247,488.457004567224
"25","article_0_0_0_0_0_103.RDa",1,1,1,441.818039490219,442.557555699283,381.732773459479,442.557555699283,844.292813295839,381.73277345599,600.891241473476,505.543684893573
"26","article_0_0_0_0_0_103.RDa",1,1,2,431.481432309926,431.453391157579,516.388279208722,431.453391157579,762.417289304962,516.388279208177,876.89071866611,748.317385674553
"27","article_0_0_0_0_0_103.RDa",1,2,1,659.318552854659,659.184143162958,734.650845008365,659.184143162958,995.178591236577,734.650845005033,878.05909663973,733.165943911534
"28","article_0_0_0_0_0_103.RDa",1,2,2,488.711697295786,489.434504989615,433.738030006337,489.434504989615,673.042465360903,433.738030006197,834.034961871562,701.066896045864
"29","article_0_0_0_0_0_103.RDa",2,1,1,443.261309884248,443.253751073962,511.601481237321,443.253751073962,751.832882693983,511.601481238503,717.410476204397,721.338098358739
"30","article_0_0_0_0_0_103.RDa",2,1,2,559.180698519718,559.284310479025,584.935332445033,559.284310479025,885.62485297403,584.935332443483,792.456698656743,614.085368102836
