"","filename","sti","ai","pi","min_ess"
"1","article_0_0_0_0_0_100.RDa",1,1,1,322.194529847982
"2","article_0_0_0_0_0_100.RDa",1,1,2,351.278372927668
"3","article_0_0_0_0_0_100.RDa",1,2,1,324.995414816443
"4","article_0_0_0_0_0_100.RDa",1,2,2,308.915634073498
"5","article_0_0_0_0_0_100.RDa",2,1,1,301.823577301458
"6","article_0_0_0_0_0_100.RDa",2,1,2,267.4585844214
"7","article_0_0_0_0_0_100.RDa",2,2,1,320.182436571528
"8","article_0_0_0_0_0_100.RDa",2,2,2,292.903276652545
"9","article_0_0_0_0_0_101.RDa",1,1,1,180.639963524449
"10","article_0_0_0_0_0_101.RDa",1,1,2,154.46179574998
"11","article_0_0_0_0_0_101.RDa",1,2,1,154.062004728339
"12","article_0_0_0_0_0_101.RDa",1,2,2,146.750451863042
"13","article_0_0_0_0_0_101.RDa",2,1,1,160.6459295773
"14","article_0_0_0_0_0_101.RDa",2,1,2,146.638432378407
"15","article_0_0_0_0_0_101.RDa",2,2,1,175.482016871744
"16","article_0_0_0_0_0_101.RDa",2,2,2,185.926716469756
"17","article_0_0_0_0_0_102.RDa",1,1,1,587.283076476961
"18","article_0_0_0_0_0_102.RDa",1,1,2,486.785512393448
"19","article_0_0_0_0_0_102.RDa",1,2,1,719.076275624548
"20","article_0_0_0_0_0_102.RDa",1,2,2,792.514879450981
"21","article_0_0_0_0_0_102.RDa",2,1,1,462.561926408692
"22","article_0_0_0_0_0_102.RDa",2,1,2,616.99480083465
"23","article_0_0_0_0_0_102.RDa",2,2,1,581.913032647518
"24","article_0_0_0_0_0_102.RDa",2,2,2,488.457004567224
"25","article_0_0_0_0_0_103.RDa",1,1,1,381.73277345599
"26","article_0_0_0_0_0_103.RDa",1,1,2,431.453391157579
"27","article_0_0_0_0_0_103.RDa",1,2,1,659.184143162958
"28","article_0_0_0_0_0_103.RDa",1,2,2,433.738030006197
"29","article_0_0_0_0_0_103.RDa",2,1,1,443.253751073962
"30","article_0_0_0_0_0_103.RDa",2,1,2,559.180698519718
"31","article_0_0_0_0_0_103.RDa",2,2,1,443.521368242539
"32","article_0_0_0_0_0_103.RDa",2,2,2,446.674001864897
"33","article_0_0_0_0_0_104.RDa",1,1,1,466.725007812438
"34","article_0_0_0_0_0_104.RDa",1,1,2,712.044768397519
"35","article_0_0_0_0_0_104.RDa",1,2,1,567.253196708633
"36","article_0_0_0_0_0_104.RDa",1,2,2,681.077592376985
"37","article_0_0_0_0_0_104.RDa",2,1,1,416.678674170638
"38","article_0_0_0_0_0_104.RDa",2,1,2,535.134973586614
"39","article_0_0_0_0_0_104.RDa",2,2,1,529.416768320718
"40","article_0_0_0_0_0_104.RDa",2,2,2,639.166170429165
"41","article_0_0_0_0_0_105.RDa",1,1,1,605.388964227991
"42","article_0_0_0_0_0_105.RDa",1,1,2,663.474154222038
"43","article_0_0_0_0_0_105.RDa",1,2,1,479.718387199771
"44","article_0_0_0_0_0_105.RDa",1,2,2,608.233617055825
"45","article_0_0_0_0_0_105.RDa",2,1,1,493.078647721317
"46","article_0_0_0_0_0_105.RDa",2,1,2,473.630779450058
"47","article_0_0_0_0_0_105.RDa",2,2,1,577.342689557383
"48","article_0_0_0_0_0_105.RDa",2,2,2,602.609026325852
"49","article_0_0_0_0_0_106.RDa",1,1,1,413.536167550132
"50","article_0_0_0_0_0_106.RDa",1,1,2,717.062091623409
"51","article_0_0_0_0_0_106.RDa",1,2,1,758.446261753093
"52","article_0_0_0_0_0_106.RDa",1,2,2,769.187211981289
"53","article_0_0_0_0_0_106.RDa",2,1,1,702.028767522585
"54","article_0_0_0_0_0_106.RDa",2,1,2,698.48113373415
"55","article_0_0_0_0_0_106.RDa",2,2,1,456.418389940829
"56","article_0_0_0_0_0_106.RDa",2,2,2,776.040692429054
"57","article_0_0_0_0_0_107.RDa",1,1,1,606.253708324845
"58","article_0_0_0_0_0_107.RDa",1,1,2,535.491422575913
"59","article_0_0_0_0_0_107.RDa",1,2,1,607.615710578563
"60","article_0_0_0_0_0_107.RDa",1,2,2,571.82361377128
"61","article_0_0_0_0_0_107.RDa",2,1,1,668.819725864552
"62","article_0_0_0_0_0_107.RDa",2,1,2,528.320103709088
"63","article_0_0_0_0_0_107.RDa",2,2,1,584.136385478764
"64","article_0_0_0_0_0_107.RDa",2,2,2,674.173824468511
"65","article_0_0_0_0_0_108.RDa",1,1,1,238.952734650844
"66","article_0_0_0_0_0_108.RDa",1,1,2,299.539270122646
"67","article_0_0_0_0_0_108.RDa",1,2,1,250.575302113145
"68","article_0_0_0_0_0_108.RDa",1,2,2,308.788758953409
"69","article_0_0_0_0_0_108.RDa",2,1,1,213.607666603445
"70","article_0_0_0_0_0_108.RDa",2,1,2,258.527819514037
"71","article_0_0_0_0_0_108.RDa",2,2,1,235.342411605642
"72","article_0_0_0_0_0_108.RDa",2,2,2,281.997329626978
"73","article_0_0_0_0_0_109.RDa",1,1,1,408.053522089342
"74","article_0_0_0_0_0_109.RDa",1,1,2,566.424955439735
"75","article_0_0_0_0_0_109.RDa",1,2,1,566.471268275491
"76","article_0_0_0_0_0_109.RDa",1,2,2,470.619503271513
"77","article_0_0_0_0_0_109.RDa",2,1,1,379.254546367988
"78","article_0_0_0_0_0_109.RDa",2,1,2,506.811000710738
"79","article_0_0_0_0_0_109.RDa",2,2,1,613.520370411959
"80","article_0_0_0_0_0_109.RDa",2,2,2,569.020751016375
"81","article_0_0_0_0_0_110.RDa",1,1,1,331.908410860799
"82","article_0_0_0_0_0_110.RDa",1,1,2,337.919786701275
"83","article_0_0_0_0_0_110.RDa",1,2,1,385.621451939919
"84","article_0_0_0_0_0_110.RDa",1,2,2,351.680901574287
"85","article_0_0_0_0_0_110.RDa",2,1,1,374.094893295118
"86","article_0_0_0_0_0_110.RDa",2,1,2,344.907411494431
"87","article_0_0_0_0_0_110.RDa",2,2,1,287.954111327082
"88","article_0_0_0_0_0_110.RDa",2,2,2,351.37330406173
"89","article_0_0_0_0_0_111.RDa",1,1,1,241.336937364958
"90","article_0_0_0_0_0_111.RDa",1,1,2,264.262800611147
"91","article_0_0_0_0_0_111.RDa",1,2,1,275.234347864096
"92","article_0_0_0_0_0_111.RDa",1,2,2,285.402170788397
"93","article_0_0_0_0_0_111.RDa",2,1,1,242.631841403981
"94","article_0_0_0_0_0_111.RDa",2,1,2,252.400372708299
"95","article_0_0_0_0_0_111.RDa",2,2,1,269.776791085637
"96","article_0_0_0_0_0_111.RDa",2,2,2,265.26904083526
"97","article_0_0_0_0_0_112.RDa",1,1,1,486.098989796068
"98","article_0_0_0_0_0_112.RDa",1,1,2,365.571445011391
"99","article_0_0_0_0_0_112.RDa",1,2,1,406.02351802091
"100","article_0_0_0_0_0_112.RDa",1,2,2,398.518136076171
"101","article_0_0_0_0_0_112.RDa",2,1,1,437.805658473479
"102","article_0_0_0_0_0_112.RDa",2,1,2,344.836204428146
"103","article_0_0_0_0_0_112.RDa",2,2,1,370.635015164863
"104","article_0_0_0_0_0_112.RDa",2,2,2,495.52419426062
"105","article_0_0_0_0_0_113.RDa",1,1,1,449.032176178797
"106","article_0_0_0_0_0_113.RDa",1,1,2,381.310850420237
"107","article_0_0_0_0_0_113.RDa",1,2,1,286.407514765568
"108","article_0_0_0_0_0_113.RDa",1,2,2,244.660316252397
"109","article_0_0_0_0_0_113.RDa",2,1,1,438.134432658009
"110","article_0_0_0_0_0_113.RDa",2,1,2,468.217643995332
"111","article_0_0_0_0_0_113.RDa",2,2,1,462.951353884993
"112","article_0_0_0_0_0_113.RDa",2,2,2,494.556787770088
"113","article_0_0_0_0_0_114.RDa",1,1,1,361.642012296233
"114","article_0_0_0_0_0_114.RDa",1,1,2,321.467076018538
"115","article_0_0_0_0_0_114.RDa",1,2,1,315.411871135328
"116","article_0_0_0_0_0_114.RDa",1,2,2,294.890682976866
"117","article_0_0_0_0_0_114.RDa",2,1,1,350.840509932229
"118","article_0_0_0_0_0_114.RDa",2,1,2,315.955304911168
"119","article_0_0_0_0_0_114.RDa",2,2,1,310.754293997898
"120","article_0_0_0_0_0_114.RDa",2,2,2,283.056286124266
"121","article_0_0_0_0_0_115.RDa",1,1,1,230.223626110607
"122","article_0_0_0_0_0_115.RDa",1,1,2,223.144080174049
"123","article_0_0_0_0_0_115.RDa",1,2,1,228.017418665572
"124","article_0_0_0_0_0_115.RDa",1,2,2,177.745747749484
"125","article_0_0_0_0_0_115.RDa",2,1,1,191.604035023662
"126","article_0_0_0_0_0_115.RDa",2,1,2,170.258835171781
"127","article_0_0_0_0_0_115.RDa",2,2,1,227.448491716862
"128","article_0_0_0_0_0_115.RDa",2,2,2,197.491942908037
"129","article_0_0_0_0_0_116.RDa",1,1,1,252.584365077745
"130","article_0_0_0_0_0_116.RDa",1,1,2,738.610289841648
"131","article_0_0_0_0_0_116.RDa",1,2,1,594.390215788017
"132","article_0_0_0_0_0_116.RDa",1,2,2,451.199575256025
"133","article_0_0_0_0_0_116.RDa",2,1,1,801.83877127855
"134","article_0_0_0_0_0_116.RDa",2,1,2,637.497563350431
"135","article_0_0_0_0_0_116.RDa",2,2,1,683.154376536013
"136","article_0_0_0_0_0_116.RDa",2,2,2,690.735437340053
"137","article_0_0_0_0_0_117.RDa",1,1,1,454.879566504901
"138","article_0_0_0_0_0_117.RDa",1,1,2,426.012870115931
"139","article_0_0_0_0_0_117.RDa",1,2,1,364.739853954962
"140","article_0_0_0_0_0_117.RDa",1,2,2,399.249299108713
"141","article_0_0_0_0_0_117.RDa",2,1,1,313.00590538701
"142","article_0_0_0_0_0_117.RDa",2,1,2,278.296020101089
"143","article_0_0_0_0_0_117.RDa",2,2,1,329.903254026678
"144","article_0_0_0_0_0_117.RDa",2,2,2,412.273585603942
"145","article_0_0_0_0_0_118.RDa",1,1,1,662.433990131687
"146","article_0_0_0_0_0_118.RDa",1,1,2,928.816102086524
"147","article_0_0_0_0_0_118.RDa",1,2,1,776.622237014025
"148","article_0_0_0_0_0_118.RDa",1,2,2,604.126934865823
"149","article_0_0_0_0_0_118.RDa",2,1,1,614.311588431863
"150","article_0_0_0_0_0_118.RDa",2,1,2,747.483612462506
"151","article_0_0_0_0_0_118.RDa",2,2,1,782.865557145899
"152","article_0_0_0_0_0_118.RDa",2,2,2,948.439127578481
"153","article_0_0_0_0_0_119.RDa",1,1,1,765.804866106134
"154","article_0_0_0_0_0_119.RDa",1,1,2,792.580155735862
"155","article_0_0_0_0_0_119.RDa",1,2,1,791.807605011448
"156","article_0_0_0_0_0_119.RDa",1,2,2,639.845393506391
"157","article_0_0_0_0_0_119.RDa",2,1,1,509.434157112581
"158","article_0_0_0_0_0_119.RDa",2,1,2,656.929307824546
"159","article_0_0_0_0_0_119.RDa",2,2,1,821.756612373894
"160","article_0_0_0_0_0_119.RDa",2,2,2,674.756750430042
"161","article_0_0_0_0_1_120.RDa",1,1,1,580.850928190741
"162","article_0_0_0_0_1_120.RDa",1,1,2,672.527481498063
"163","article_0_0_0_0_1_120.RDa",1,2,1,550.755383891677
"164","article_0_0_0_0_1_120.RDa",1,2,2,588.232078227179
"165","article_0_0_0_0_1_120.RDa",2,1,1,713.161406205787
"166","article_0_0_0_0_1_120.RDa",2,1,2,653.428639622288
"167","article_0_0_0_0_1_120.RDa",2,2,1,629.145816608922
"168","article_0_0_0_0_1_120.RDa",2,2,2,658.283271230016
"169","article_0_0_0_0_1_121.RDa",1,1,1,320.890221412698
"170","article_0_0_0_0_1_121.RDa",1,1,2,305.329543339484
"171","article_0_0_0_0_1_121.RDa",1,2,1,306.91360182113
"172","article_0_0_0_0_1_121.RDa",1,2,2,277.756474536838
"173","article_0_0_0_0_1_121.RDa",2,1,1,301.398319738832
"174","article_0_0_0_0_1_121.RDa",2,1,2,331.325727477677
